image_path,emotion,dataset_name,width,height,file_size,age,gender
./Datasets\AMFD Faces Final\happy\SF-1001.jpg,1,AMFD Faces Final,640,640,35472,1,1
./Datasets\AMFD Faces Final\happy\SF-1002.jpg,1,AMFD Faces Final,640,640,33613,2,1
./Datasets\AMFD Faces Final\happy\SF-1003.jpg,1,AMFD Faces Final,640,640,29486,1,1
./Datasets\AMFD Faces Final\happy\SF-1004.jpg,1,AMFD Faces Final,640,640,29908,1,1
./Datasets\AMFD Faces Final\happy\SF-1005.jpg,1,AMFD Faces Final,640,640,25645,1,1
./Datasets\AMFD Faces Final\happy\SF-1006.jpg,1,AMFD Faces Final,640,640,37277,1,1
./Datasets\AMFD Faces Final\happy\SF-1008.jpg,1,AMFD Faces Final,640,640,31714,1,1
./Datasets\AMFD Faces Final\happy\SF-1009.jpg,1,AMFD Faces Final,640,640,38264,1,1
./Datasets\AMFD Faces Final\happy\SF-1012.jpg,1,AMFD Faces Final,640,640,32677,1,1
./Datasets\AMFD Faces Final\happy\SF-1013.jpg,1,AMFD Faces Final,640,640,35874,1,1
./Datasets\AMFD Faces Final\happy\SF-1014.jpg,1,AMFD Faces Final,640,640,40043,1,1
./Datasets\AMFD Faces Final\happy\SF-1015.jpg,1,AMFD Faces Final,640,640,32501,1,1
./Datasets\AMFD Faces Final\happy\SF-1016.jpg,1,AMFD Faces Final,640,640,36271,1,1
./Datasets\AMFD Faces Final\happy\SF-1017.jpg,1,AMFD Faces Final,640,640,42540,1,1
./Datasets\AMFD Faces Final\happy\SF-1018.jpg,1,AMFD Faces Final,640,640,37324,1,1
./Datasets\AMFD Faces Final\happy\SF-1020.jpg,1,AMFD Faces Final,640,640,35934,1,1
./Datasets\AMFD Faces Final\happy\SF-1021.jpg,1,AMFD Faces Final,640,640,34745,1,1
./Datasets\AMFD Faces Final\happy\SF-1022.jpg,1,AMFD Faces Final,640,640,40710,1,1
./Datasets\AMFD Faces Final\happy\SF-1023.jpg,1,AMFD Faces Final,640,640,38589,1,1
./Datasets\AMFD Faces Final\happy\SF-1024.jpg,1,AMFD Faces Final,640,640,28748,1,1
./Datasets\AMFD Faces Final\happy\SF-1025.jpg,1,AMFD Faces Final,640,640,32827,1,1
./Datasets\AMFD Faces Final\happy\SF-1026.jpg,1,AMFD Faces Final,640,640,32563,1,1
./Datasets\AMFD Faces Final\happy\SF-1028.jpg,1,AMFD Faces Final,640,640,33797,1,1
./Datasets\AMFD Faces Final\happy\SF-1030.jpg,1,AMFD Faces Final,640,640,33722,1,1
./Datasets\AMFD Faces Final\happy\SF-1031.jpg,1,AMFD Faces Final,640,640,33350,1,1
./Datasets\AMFD Faces Final\happy\SF-1032.jpg,1,AMFD Faces Final,640,640,31338,1,1
./Datasets\AMFD Faces Final\happy\SF-1034.jpg,1,AMFD Faces Final,640,640,40779,1,1
./Datasets\AMFD Faces Final\happy\SF-1036.jpg,1,AMFD Faces Final,640,640,37054,1,1
./Datasets\AMFD Faces Final\happy\SF-1037.jpg,1,AMFD Faces Final,640,640,31034,1,1
./Datasets\AMFD Faces Final\happy\SF-1039.jpg,1,AMFD Faces Final,640,640,30713,1,1
./Datasets\AMFD Faces Final\happy\SF-1040.jpg,1,AMFD Faces Final,640,640,42248,1,1
./Datasets\AMFD Faces Final\happy\SF-1041.jpg,1,AMFD Faces Final,640,640,31041,1,1
./Datasets\AMFD Faces Final\happy\SF-1042.jpg,1,AMFD Faces Final,640,640,36162,1,1
./Datasets\AMFD Faces Final\happy\SF-1043.jpg,1,AMFD Faces Final,640,640,39466,1,1
