image_path,emotion,dataset_name,width,height,file_size,age,gender
./Datasets\Real_and_Fake_Face_Detection\focused\real_00760.jpg,0,Real_and_Fake_Face_Detection,640,640,56077,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00763.jpg,0,Real_and_Fake_Face_Detection,640,640,41730,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00770.jpg,0,Real_and_Fake_Face_Detection,640,640,59863,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00775.jpg,0,Real_and_Fake_Face_Detection,640,640,54229,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00777.jpg,0,Real_and_Fake_Face_Detection,640,640,47215,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00780.jpg,0,Real_and_Fake_Face_Detection,640,640,40559,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00785.jpg,0,Real_and_Fake_Face_Detection,640,640,36851,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00788.jpg,0,Real_and_Fake_Face_Detection,640,640,43804,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00789.jpg,0,Real_and_Fake_Face_Detection,640,640,45337,1,2
./Datasets\Real_and_Fake_Face_Detection\focused\real_00791.jpg,0,Real_and_Fake_Face_Detection,640,640,41462,1,2
./Datasets\Real_and_Fake_Face_Detection\focused\real_00798.jpg,0,Real_and_Fake_Face_Detection,640,640,51465,2,2
./Datasets\Real_and_Fake_Face_Detection\focused\real_00818.jpg,0,Real_and_Fake_Face_Detection,640,640,45071,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00822.jpg,0,Real_and_Fake_Face_Detection,640,640,33263,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00823.jpg,0,Real_and_Fake_Face_Detection,640,640,50420,2,2
./Datasets\Real_and_Fake_Face_Detection\focused\real_00824.jpg,0,Real_and_Fake_Face_Detection,640,640,42306,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00827.jpg,0,Real_and_Fake_Face_Detection,640,640,37898,1,2
./Datasets\Real_and_Fake_Face_Detection\focused\real_00828.jpg,0,Real_and_Fake_Face_Detection,640,640,35114,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00843.jpg,0,Real_and_Fake_Face_Detection,640,640,49881,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00856.jpg,0,Real_and_Fake_Face_Detection,640,640,48588,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00857.jpg,0,Real_and_Fake_Face_Detection,640,640,45262,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00859.jpg,0,Real_and_Fake_Face_Detection,640,640,62999,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00867.jpg,0,Real_and_Fake_Face_Detection,640,640,53792,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00872.jpg,0,Real_and_Fake_Face_Detection,640,640,55913,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00874.jpg,0,Real_and_Fake_Face_Detection,640,640,46299,2,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00876.jpg,0,Real_and_Fake_Face_Detection,640,640,46674,1,2
./Datasets\Real_and_Fake_Face_Detection\focused\real_00880.jpg,0,Real_and_Fake_Face_Detection,640,640,24949,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00888.jpg,0,Real_and_Fake_Face_Detection,640,640,97722,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00890.jpg,0,Real_and_Fake_Face_Detection,640,640,61797,1,1
./Datasets\Real_and_Fake_Face_Detection\focused\real_00897.jpg,0,Real_and_Fake_Face_Detection,640,640,33798,1,2
